trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
11062741-MM2025-InvFes-Dimanche-00,10:11:00,10:11:00,MM01,3,0,0
11062741-MM2025-InvFes-Dimanche-00,10:12:38,10:12:38,MM04,4,0,0
11062741-MM2025-InvFes-Dimanche-00,10:14:00,10:14:00,MM05,5,0,0
11062741-MM2025-InvFes-Dimanche-00,10:15:51,10:15:51,MM07,6,0,0
11062741-MM2025-InvFes-Dimanche-00,10:17:00,10:17:00,MM06,7,0,0
11062741-MM2025-InvFes-Dimanche-00,10:23:00,10:23:00,MM08,8,0,0
11062742-MM2025-InvFes-Dimanche-00,10:15:00,10:15:00,MM03,1,0,0
11062742-MM2025-InvFes-Dimanche-00,10:19:00,10:19:00,MM02,2,0,0
11062742-MM2025-InvFes-Dimanche-00,10:21:00,10:21:00,MM01,3,0,0
11062742-MM2025-InvFes-Dimanche-00,10:22:38,10:22:38,MM04,4,0,0
11062742-MM2025-InvFes-Dimanche-00,10:24:00,10:24:00,MM05,5,0,0
11062742-MM2025-InvFes-Dimanche-00,10:25:51,10:25:51,MM07,6,0,0
11062742-MM2025-InvFes-Dimanche-00,10:27:00,10:27:00,MM06,7,0,0
11062742-MM2025-InvFes-Dimanche-00,10:33:00,10:33:00,MM08,8,0,0
11062743-MM2025-InvFes-Dimanche-00,10:25:00,10:25:00,MM03,1,0,0
11062743-MM2025-InvFes-Dimanche-00,10:29:00,10:29:00,MM02,2,0,0
11062743-MM2025-InvFes-Dimanche-00,10:31:00,10:31:00,MM01,3,0,0
11062743-MM2025-InvFes-Dimanche-00,10:32:38,10:32:38,MM04,4,0,0
11062743-MM2025-InvFes-Dimanche-00,10:34:00,10:34:00,MM05,5,0,0
11062743-MM2025-InvFes-Dimanche-00,10:35:51,10:35:51,MM07,6,0,0
11062743-MM2025-InvFes-Dimanche-00,10:37:00,10:37:00,MM06,7,0,0
11062743-MM2025-InvFes-Dimanche-00,10:43:00,10:43:00,MM08,8,0,0
11062744-MM2025-InvFes-Dimanche-00,10:45:00,10:45:00,MM03,1,0,0
11062744-MM2025-InvFes-Dimanche-00,10:49:00,10:49:00,MM02,2,0,0
11062744-MM2025-InvFes-Dimanche-00,10:51:00,10:51:00,MM01,3,0,0
